Date,DBC Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,,VTI Portfolio,Portfolio,,,,
2/6/06,,-0.001269481,0.003893823,0.001981296,0.002380414,#N/A,,#N/A,#N/A,,,,
2/7/06,-0.028925627,-0.008534621,-0.037376639,-0.004723725,-0.009736427,-0.017834708,,1,1,,,VTI,Portfolio
2/8/06,-0.004255333,0.009340704,0.004212528,-0.002317874,0.00719425,0.001720574,,0.990263573,0.982165292,,Average Returns,0.000370092,0.000289376
2/9/06,0.009401732,0.005080716,0.02462152,0.004535944,-0.001904753,0.009867491,,0.997387777,0.98385518,,Std,0.012879955,0.006263142
2/10/06,-0.018204913,-0.001083168,-0.024741883,-0.005506608,0.002067388,-0.010922087,,0.995487999,0.993563362,,Ratio,0.028733966,0.046202958
2/13/06,-0.015523956,-0.00289183,-0.019529111,0.000110683,-0.00452308,-0.008202455,,0.997546059,0.982711577,,,,
2/14/06,-0.008322415,0.00616279,0.0143336,-0.003543359,0.009485862,0.00358787,,0.993034078,0.974650929,,,,
2/15/06,-0.01457596,-0.004143389,-0.013397026,0.002444731,0.003790293,-0.004509146,,1.002453863,0.97814785,,,,
2/16/06,0.012102203,0.006512301,0.014136942,0.000221765,0.00778791,0.007214254,,1.006253457,0.973737238,,,,
2/17/06,0.014171824,0.00431348,0.008070415,0.007979525,-0.001170873,0.00713849,,1.014090067,0.980762026,,,,
2/21/06,0.016593951,0.001968505,0.002911208,-0.001649184,-0.002813385,0.002059156,,1.012902697,0.987763186,,,,
2/22/06,-0.016323087,0.006965527,0.00399131,0.006828135,0.007837044,0.003340588,,1.010053011,0.989797145,,,,
2/23/06,-0.003493424,-0.003192635,-0.012649096,-0.002515818,-0.002488388,-0.005509888,,1.017968841,0.993103649,,,,
2/24/06,0.027169184,-0.001245537,0.018301611,-0.001535241,0.001559069,0.007963495,,1.01543574,0.987631759,,,,
2/27/06,-0.019624611,0.001603414,-0.00754849,-0.001647469,0.002879892,-0.00455291,,1.017018875,0.99549676,,,,
2/28/06,0.013490032,-0.008360015,0.015392955,0.004950466,-0.009856456,0.005537097,,1.019947779,0.990964353,,,,
3/1/06,-0.002146874,0.009147943,0.00053501,-0.006041946,0.008778777,-0.000187981,,1.009894709,0.996451418,,,,
3/2/06,0.018072294,0.001599709,0.011408271,-0.006962917,-0.000699269,0.002930139,,1.01876035,0.996264104,,,,
3/3/06,0.009298371,0.00301691,-0.008107208,-0.005787381,-0.001632903,-0.003128971,,1.018047963,0.999183297,,,,
3/6/06,-0.015912871,-0.003007835,-0.018656699,-0.008731669,-0.007320832,-0.01161138,,1.016385589,0.996056881,,,,
3/7/06,-0.017446816,-0.01277723,-0.00506969,0.000677568,-0.004079686,-0.005134095,,1.008944801,0.984491287,,,,
3/8/06,-0.016024274,0.000359526,-0.017834395,-0.000338555,0.002835992,-0.006616395,,1.004828624,0.979436815,,,,
3/9/06,0.010123306,0.000539054,0.005002798,0.000338669,-0.005341713,0.002070563,,1.007678309,0.972956474,,,,
3/10/06,-0.004357313,0.01023708,-0.007558997,-0.003724216,0.007818643,-0.001891959,,1.002295581,0.974971042,,,,
3/13/06,0.013129053,0.008533324,0.008916942,-0.000792919,0.002429269,0.004980872,,1.010132172,0.973126436,,,,
3/14/06,0.014686856,0.012339169,0.01031114,0.006688627,0.010318998,0.009738714,,1.012586054,0.977973454,,,,
3/15/06,-0.011068549,0.005223728,0.004556224,-0.005405448,0.004487785,-0.000922915,,1.023034927,0.987497658,,,,
3/16/06,0.008609585,0.007102032,0.00399131,0.00905801,0.002156835,0.006447813,,1.027626089,0.986586282,,,,
3/17/06,-0.004694892,0.001891986,-0.003975443,-0.003029669,0.000768573,-0.002486466,,1.029842508,0.992947605,,,,
3/20/06,-0.020583177,-0.000171638,0.000907094,0.001575681,-0.002113,-0.002024974,,1.030634017,0.990478675,,,,
3/21/06,0.003502648,-0.008928577,-0.006162697,-0.005169108,-0.005564156,-0.004800189,,1.028456288,0.988472981,,,,
3/22/06,-0.001745234,0.008315999,-0.001459092,0.002146188,0.006061646,0.00181626,,1.022733796,0.983728124,,,,
3/23/06,0.017045516,-0.010481125,-0.000913224,-0.00315598,-0.000231831,-0.000358308,,1.028933247,0.985514829,,,,
3/24/06,-0.002148765,0.007466586,0.018464314,0.007349544,0.001313555,0.008435995,,1.028694708,0.985161711,,,,
3/27/06,0.006029333,-0.007755966,0.012206067,-0.003704053,-0.000694532,0.001927949,,1.030045955,0.993472531,,,,
3/28/06,0.012842463,-0.006426922,-0.005852066,-0.009351074,-0.005868228,-0.00487384,,1.029330556,0.995387895,,,,
3/29/06,0.006762464,0.009615361,0.018016393,-0.004776519,0.009320367,0.006338932,,1.023290209,0.990536533,,,,
3/30/06,0.012174688,0.010389592,0.026809147,-0.006970631,-0.00269328,0.007060154,,1.032827649,0.996815477,,,,
3/31/06,-0.007051053,-0.006169613,-0.008532423,-0.000345217,0.000540069,-0.003892958,,1.030045955,1.003853148,,,,
4/3/06,0.004594787,0.007242597,0.006368382,0.000323523,-0.001079669,0.003012714,,1.030602251,0.999945189,,,,
4/4/06,-0.005405366,0.01266907,-0.002394373,-0.001039574,0.005790163,0.000341899,,1.029489542,1.002957738,,,,
4/5/06,0.006270901,0.003043124,0.005657432,0.001387541,0.003684337,0.00365533,,1.035450455,1.003300649,,,,
