Date,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,EWJ Returns,Portfolio Returns,,VTI,Portfolio,,,,,
4/11/07,,-0.001571718,-0.00280594,-0.004787949,-0.001191215,-0.000686223,-0.006378688,-0.004078847,,,#N/A,#N/A,,,,VTI,Portfolio
4/12/07,0.000670813,0.00590317,0.012723298,0.008934734,-0.001341741,0.000228867,0.006559223,-0.001365158,0.001356366,,1,1,,,Return,0.000356846,0.000280457
4/13/07,-0.001819521,0.00547736,0.003261686,0.005585773,0.012688431,-0.003089557,0.003327537,-0.00820238,0.00181903,,1.006559223,1.001356366,,,Std Dev,0.013438289,0.005371282
4/16/07,-0.000383763,-0.007782145,0.012522513,0.010974183,0.008254806,0.005509584,0.010087786,0.014472779,0.004293243,,1.009908586,1.003177864,,,Ratio,0.026554433,0.052214233
4/17/07,-0.000479926,-0.010196075,-0.003567547,0.000267997,-0.005847982,0.005593591,0.001573271,-0.006114075,-0.000339931,,1.020096327,1.00748475,,,,,
4/18/07,0.000288052,0.000396209,-0.004654504,-0.000535929,0.005588191,0.004994924,0.000887891,0.001367024,0.003107155,,1.021701215,1.007142275,,,,,
4/19/07,0.003455895,-0.002772283,-0.006714697,-0.002144707,-0.012430507,-0.001694365,-0.001842407,-0.004778131,-0.003255297,,1.022608374,1.010271622,,,,,
4/20/07,-0.000573974,0.013899947,0.014968706,0.012896261,0.017325604,-0.002602354,0.008887091,0.004115215,0.005063264,,1.020724314,1.006982887,,,,,
4/23/07,0.000574304,0.00665884,-0.004162688,-0.007692331,-0.006404585,0.00363018,-0.001965096,-0.010929037,0.000287803,,1.029795584,1.012081507,,,,,
4/24/07,0.006887986,-0.013618703,0.000716565,0.00120294,-0.007764415,0.003730091,-0.000135716,-0.001381185,-0.000265961,,1.027771937,1.012372787,,,,,
4/25/07,0.001520232,0.019723874,0.014202185,0.009478041,0.002362262,-0.003491048,0.008895216,0.005532542,0.002592673,,1.027632452,1.012103535,,,,,
4/26/07,0.001802432,-0.006963269,-0.013415009,-0.005686341,-0.015024245,-0.007232448,0.000336539,-0.004814279,-0.006813398,,1.036773465,1.014727589,,,,,
